Headline,Scraped Content,Question_Mistral,Actual Decision,SummaC ZS Decision,SummaC Conv Decision
"The daughter of the judge in Donald J. Trump’s Manhattan criminal trial has worked as a consultant for Democratic candidates, though her relationship to the vice president is unclear.","Trump Claims Judge Has Ties to Harris and Seeks to Toss Him Off Case   ADVERTISEMENT  The daughter of the judge in Donald J. Trump’s Manhattan criminal trial has worked as a consultant for Democratic candidates, though her relationship to the vice president is unclear. NEW Listen to articles Tap the Play button at the top of any article to hear it read aloud. By Ben Protess and Jay Root Former President Donald J. Trump is urging the judge who oversaw his Manhattan criminal trial to step aside, claiming in a legal filing that the judge has indirect ties to Vice President Kamala Harris and therefore an “actual conflict and appearances of impropriety.” In a letter to the judge released on Thursday — two months after Mr. Trump was convicted of falsifying documents to hide a sex scandal — Mr. Trump’s lawyers said that the judge’s daughter “has a longstanding relationship with Harris,” who is the presumptive Democratic presidential nominee and Mr. Trump’s election opponent. Mr. Trump’s legal team cited the daughter’s “work for political campaigns” as a Democratic consultant, an argument that many ethics experts had previously rejected. The letter is the former president’s latest long-shot bid to oust the judge, Juan M. Merchan, from the case. The judge, a former Republican now known as a moderate Democrat, refused Mr. Trump’s request last year to step aside. He cited a state advisory committee on judicial ethics that determined that his impartiality could not reasonably be questioned based on his daughter’s interests. Before the trial, Mr. Trump also tried unsuccessfully to remove the judge, who declared on the first day of jury selection in April, “There is no agenda here” and “We want justice to be done.” ADVERTISEMENT The new effort comes at a crucial moment, after Mr. Trump’s conviction on 34 felony counts of falsifying business records and before his sentencing next month. Mr. Trump has asked Justice Merchan to throw out the verdict in light of a recent U.S. Supreme Court ruling granting him broad immunity for official actions he took while in the White House. The Manhattan district attorney’s office, which brought the case, has argued that the Supreme Court decision had “no bearing on this prosecution” and urged the judge to uphold the jury’s verdict. Justice Merchan has promised to rule on Sept. 6. If he rejects Mr. Trump’s bid to toss out the conviction, he is set to impose the former president’s sentence on Sept. 18. Mr. Trump faces up to four years in prison, though the judge could decide on a much shorter jail term, or sentence him only to probation. Mr. Trump has sparred with the judge for months. In the lead-up to the trial, Mr. Trump berated Justice Merchan and his daughter, Loren Merchan, citing her work for Democratic candidates. But at the request of the district attorney, Alvin L. Bragg, Justice Merchan imposed a gag order preventing Mr. Trump from assailing family members of prosecutors and the judge — in addition to prohibiting criticism of witnesses and jurors. Mr. Trump violated the order 10 times during the trial, resulting in $10,000 in fines. ADVERTISEMENT After the trial, Justice Merchan allowed attacks on witnesses and jurors, though he extended until Mr. Trump’s sentencing a narrow version of the gag order that covers prosecutors and their family members as well as family members of the judge. On Thursday, a New York appeals court rejected Mr. Trump’s effort to unwind those restrictions. The presidential election is 62 days away. Here’s our guide to the run-up to Election Day. Tracking the Polls. The state of the race, according to the latest polling data. Election Calendar. Take a look at key dates and voting deadlines. Swing State Ratings. The presidential race is likely to be decided by these states. Candidates’ Careers. How Trump, Vance, Harris and Walz got here. Harris on the Issues. Where Harris stands on immigration, abortion and more. Trump’s 2025 Plans. Trump is preparing to radically reshape the government. Since Ms. Harris took over the top of the Democratic ticket last month when President Biden stepped aside, she has emphasized her prosecutorial record and hammered Mr. Trump as a criminal. He is the first former American president to become a felon. Mr. Trump has falsely portrayed his conviction as the product of machinations by President Biden and Ms. Harris. He has also sought to parry Ms. Harris’s attacks on him over the conviction by calling the judge biased, underscoring the importance to him of removing the gag order. “The court’s unjust and unconstitutional gag order continues to restrict President Trump’s ability to respond to Harris and address these topics with the American people,” his lawyers, Todd Blanche and Emil Bove, wrote in the letter to the judge that was made public on Thursday. “Decisions by Your Honor on the pending Presidential immunity motion and at any sentencing would benefit not only Harris but also the professional aspirations and financial status of Your Honor’s daughter.” It is unclear how closely tied Ms. Merchan was to Ms. Harris. Cached pages from the website of Authentic Campaigns, a Democratic fund-raising and marketing firm, listed Loren Merchan in January 2024 as president. Her biography on the website noted that she had managed media campaigns for Ms. Harris, Senator Bernie Sanders and Representative Beto O’Rourke. Mike Nellis, the chief executive of Authentic, declined to comment. ADVERTISEMENT Mr. Trump was convicted in late May when a jury of 12 New Yorkers found he had falsified records to cover up a hush-money payment to a porn star, Stormy Daniels, in the final days of the 2016 campaign. Mr. Trump’s then-fixer, Michael D. Cohen, paid Ms. Daniels $130,000 to bury her story of a sexual liaison with Mr. Trump. Mr. Trump repaid Mr. Cohen soon after ascending to the presidency, and approved plans to lie on company paperwork to hide the nature of the reimbursement, the jury found. In a recent filing, Mr. Bragg’s office cited “the mountains of testimony and documentary proof that the jury considered in finding him guilty.” William K. Rashbaum and Jonah E. Bromwich contributed reporting. Ben Protess is an investigative reporter at The Times, writing about public corruption. He has been covering the various criminal investigations into former President Trump and his allies. More about Ben Protess Jay Root is an investigative reporter based in Albany, N.Y., covering the people and events influencing — and influenced by — state and local government. More about Jay Root ADVERTISEMENT","""Has the daughter of the judge in Donald J. Trump’s Manhattan criminal trial worked as a consultant for Democratic candidates?""",True,True,True
"With Prisoner Swap, Biden Scores a Win as His Term Nears Its End.The exchange offered a measure of validation for President Biden soon after he abandoned his bid for re-election.","With Prisoner Swap, Biden Scores a Win as His Term Nears Its End  ADVERTISEMENT  WHITE HOUSE MEMO The exchange offered a measure of validation for President Biden soon after he abandoned his bid for re-election. NEW Listen to articles Tap the Play button at the top of any article to hear it read aloud. By Peter Baker Peter Baker covers the White House and previously spent four years reporting from Moscow. Even in the world of presidential multitasking, July 21 turns out to have been an extraordinary, whipsaw Sunday for President Biden. At 12:09 p.m., he picked up the phone at his vacation house in Rehoboth Beach, Del., to talk with the prime minister of Slovenia as part of a high-stakes diplomatic gamble to seal a complicated, multinational prisoner swap. Just 97 minutes later, he posted a world-stunning letter online abandoning his bid for re-election after a bruising pressure campaign by his own Democratic allies, climaxing the biggest crisis of his political career and signaling the end of his presidency after a half-century in public life. By any measure, it was one of the darkest moments of his time in elective office as the inescapable reality of time, age and polls finally caught up with him. And yet it would lead to one of the most joyous days of his presidency barely a week and a half later as he orchestrated the release of imprisoned Americans from the dungeons of Russia. ADVERTISEMENT For Mr. Biden and his team, the successful negotiation to free 16 people held by Russia on Thursday, including three American citizens and a U.S. permanent resident, offered sweet validation even as the clock is now ticking toward his final curtain call in office. When the president appeared with relatives of the liberated prisoners in the State Dining Room of the White House, it was clearly personal to him and he framed it as a mission on behalf of the larger American family. “My dad had a simple proposition: Family is the beginning, the middle and the end. Blood of my blood and bone of my bone,” Mr. Biden said before hugging the daughter of one of the freed prisoners. “I could think of nothing more consequential.” As he often does, he drew on his own experience of personal tragedy. “Having lost family,” albeit in a very different way, he said that bringing home these tortured souls now, well, “it matters, it matters.” It clearly mattered to him too. Although he made no mention of the incredible timing of his diplomatic triumph, just an hour and a half before his political surrender, it reinforced a commitment to making his last five months in power count. He may be a lame duck now, but he has no intention of heading off quietly into the night — except his trip late Thursday to Joint Base Andrews outside Washington, where he welcomed home the Americans. Mr. Biden’s staff made a point of talking up his diplomatic deftness in brokering the deal, bringing together seven countries in the largest such swap since the Cold War. And they emphasized that he and his administration had helped free more than 70 Americans wrongfully detained abroad during his tenure. ADVERTISEMENT “This was vintage Joe Biden,” said Jake Sullivan, the national security adviser. “If you had not had Joe Biden sitting in the Oval Office, I don’t think this would have happened.” Mr. Sullivan, who has been personally invested in bringing home the hostages for years and had to deliver bad news to their families on many occasions, grew teary-eyed himself in the White House briefing room. “Today was a very good day,” he said, choking up. It was Mr. Sullivan who set up the president’s critical call with Prime Minister Robert Golob of Slovenia on July 21, according to a U.S. official who spoke on the condition of anonymity to share behind-the-scenes details. The day before, on Saturday, July 20, Mr. Sullivan had been in Colorado for a meeting of the Aspen Strategy Group and worked the phones to bring together the deal. He was talking with his counterpart from Slovenia, which had agreed in principle to release two Russians held by that Balkan country as part of the swap to free the Wall Street Journal reporter Evan Gershkovich and the others held by Moscow. The presidential election is 62 days away. Here’s our guide to the run-up to Election Day. Tracking the Polls. The state of the race, according to the latest polling data. Election Calendar. Take a look at key dates and voting deadlines. Swing State Ratings. The presidential race is likely to be decided by these states. Candidates’ Careers. How Trump, Vance, Harris and Walz got here. Harris on the Issues. Where Harris stands on immigration, abortion and more. Trump’s 2025 Plans. Trump is preparing to radically reshape the government. But the two Russians would have to be pardoned, and the Slovenians said they could not do that in time, according to the U.S. official. So Mr. Sullivan asked if he could arrange a call from the president to the prime minister. After flying back to Washington, Mr. Sullivan called from his home that Sunday and connected the two leaders through the White House Situation Room, according to the U.S. official. ADVERTISEMENT Mr. Biden was in isolation in Rehoboth recovering from Covid — and unknown to nearly the whole world, finalizing his letter withdrawing from the race. Even Mr. Sullivan, one of Mr. Biden’s closest advisers, had no idea what the president was about to do when he patched through the call and only learned later — and not from the president. During the phone call, which lasted just a few minutes, Mr. Biden implored Mr. Golob to facilitate the release of the two Russians in his custody. In making his pitch, Mr. Biden even offered to visit Slovenia, the U.S. official said. What Mr. Biden did not say was that he would only have a few months left in office to follow up on that idea. Mr. Sullivan, asked about the timing of the call shortly before the withdrawal, said it was simply happenstance. “That’s when the pieces were falling in place,” he said. It was hardly the only conversation Mr. Biden had during the months of haggling. He reached out personally to other foreign leaders, most critically Chancellor Olaf Scholz of Germany, who for a long time had resisted releasing Vadim Krasikov, a Russian assassin convicted of murdering a Chechen separatist in Germany on state orders. ADVERTISEMENT But with Mr. Biden pressing him, and the prospect of winning the release of Aleksei Navalny, the most prominent Russian opposition leader who was in prison, Mr. Scholz finally relented. “For you, I will do this,” he told Mr. Biden in January, according to U.S. officials. Mr. Navalny died in prison a few weeks later, temporarily sabotaging the deal. But Mr. Scholz still went along with releasing Mr. Krasikov in the end and got five German nationals imprisoned in Russia in trade. “The deal that made this possible was a feat of diplomacy and friendship — friendship,” Mr. Biden said on Thursday. In a veiled reference to former President Donald J. Trump, who constantly berates and belittles America’s European partners, Mr. Biden added: “For anyone who questions whether allies matter, they do. They matter.” No longer facing another election might have made it easier on some level for Mr. Biden to risk whatever political fallout there might be for the swap. It was an uncomfortable compromise. No one liked giving up a killer like Mr. Krasikov for innocent Americans like Mr. Gershkovich, the Marine veteran Paul Whelan and the journalist Alsu Kurmasheva, along with Vladimir Kara-Murza, a Russian opposition leader and Pulitzer Prize-winning columnist for The Washington Post who is a permanent U.S. resident. ADVERTISEMENT Trading for hostages always raises the tricky question of whether it encourages the hostage-takers to do it again. Unsurprisingly, Republicans quickly made that point, most loudly Mr. Trump, who is seeking his old job back and denounced giving anything away to free American prisoners. “To do so is bad precedent for the future,” Mr. Trump wrote on his social media site in a posting that did not even pause to celebrate the freedom for the Americans and others released. “That’s the way it should be, or this situation will get worse and worse. They are extorting the United States of America.” But in fact, Mr. Biden and Mr. Sullivan decided early in his administration that the old politics no longer applied and that they should be willing to make trades, when justified, to free imprisoned Americans. For all the predictable criticism that would come, they concluded that there was really no meaningful domestic political cost, nor was it clear that refusing to make deals would necessarily stop hostage taking. In that case, they reasoned that it was better just to get Americans home rather than stand on what they considered a pointless principle and leave innocent people wasting away in foreign prisons or terrorist sanctuaries. They did so for Trevor R. Reed, an ailing former U.S. Marine held in Russia on what his family called bogus charges of assault, and they did so again for Brittney Griner, the W.N.B.A. star arrested in Moscow on what U.S. officials considered trumped-up drug charges. Left out of all those deals, though, was Marc Fogel, an American teacher sentenced to 14 years in a labor camp after being found with medical marijuana. Biden aides said they would keep trying to free him too. ADVERTISEMENT When Mr. Biden appeared on Thursday with the families of Mr. Gershkovich and the others, he laughed off a claim by Mr. Trump that if he were elected again, he would get President Vladimir V. Putin of Russia to simply free American prisoners without receiving anything in return. “Why didn’t he do it when he was president?” Mr. Biden asked. With that, he headed out of the room. There was more to do. In fact, he had another important phone call to make, this one with Prime Minister Benjamin Netanyahu of Israel. There were, after all, more crises to confront, more hostages to try to free and not much time left. Peter Baker is the chief White House correspondent for The Times. He has covered the last five presidents and sometimes writes analytical pieces that place presidents and their administrations in a larger context and historical framework. More about Peter Baker ADVERTISEMENT","1. ""Did President Biden announce a prisoner swap near the end of his term?""",True,True,True
"The negotiations that led to the prisoner swap and the freeing of Americans wrongfully held in Russia required patience and creativity, but gave both sides what they wanted most.","Who was exchanged in the Russian prisoner swap? The last high-profile prisoner swap took place in December 2022, when US basketball star Brittney Griner was exchanged on the tarmac at Abu Dhabi airport for notorious Russian arms dealer Viktor Bout, who had been held in an American prison for 12 years.","""Has there been a confirmed prisoner swap between the United States and Russia that led to the release of Americans wrongfully held in Russia?""",True,True,False
"The Pennsylvania governor, a top contender to be Vice President Kamala Harris’s running mate, wrote in his college newspaper that Palestinians were “too battle-minded.”","Palestinians ‘too battle-minded’: Gov. Shapiro’s college article prompts backlash  Pennsylvania Gov. Josh Shapiro’s college newspaper article from 1993 resurfaced this week and has caused considerable backlash - with some taking offense to his claim that Palestinians are “too battle-minded” to coexist with Israel, according to the Philadelphia Inquirer.  Shapiro has made a number of headlines recently as he is thought to be among Vice President Kamala Harris's picks for a potential running mate in her presidential bid. The article ‘Peace not possible,’ published in the University of Rochester’s Campus Times, is now three decades old. It expressed opinions contradicting the official’s current stance. One key issue is that he now claims to support a two-state solution and, by extension, the establishment of a Palestinian state. At 20 years old, Shapiro claimed, “Using history as precedent, peace between Arabs and Israelis is virtually impossible and will never come.” “Palestinians will not coexist peacefully,” Shapiro wrote. “They do not have the capabilities to establish their own homeland and make it successful even with the aid of Israel and the United States. They are too battle-minded to be able to establish a peaceful homeland of their own.” The article pre-dated Israel’s 2005 withdrawal from the Gaza Strip, which was subsequently taken over by the Hamas terror group. The article also predated the signing of the Abraham Accords. Shapiro’s spokesperson, Manuel Bonder, told the Inquirer that the governor’s stance has changed and confirmed that Shapiro fully backs a two-state solution. “Governor Shapiro has built close, meaningful, informative relationships with many Muslim-American, Arab-American, Palestinian Christian, and Jewish community leaders all across Pennsylvania,” Bonder said. “The governor greatly values their perspectives and the experiences he has learned from over the years — and as a result, as with many issues, his views on the Middle East have evolved into the position he holds today.” “I was 20,” Shapiro said at a conference in Delaware County. “I have said for years, years before October 7, that I favor a two-state solution — Israelis and Palestinians living peacefully side-by-side, being able to determine their own futures and their own destiny.”","1. ""Has Pennsylvania Governor [name] written an article in his college newspaper about Palestinians being 'too battle-minded'?""",True,False,True
"The Justice Department and special counsel Robert Mueller investigated whether a Trump adviser was part of an Egyptian plan, never proven, to funnel $10 million to the 2016 Trump campaign.","House Democrats ask Trump if he illegally accepted $10 million from Egypt  A recent Washington Post article detailed a now-closed Justice Department investigation spurred by intelligence from 2016 indicating that the Egyptian president sought to give Donald Trump money. Democratic leaders on the House Oversight Committee released a letter Tuesday asking former president Donald Trump if he ever illegally received money from the government of Egypt, and whether money from Cairo played a role in a $10 million infusion into his 2016 run for president. Rep. Jamie Raskin (Md.), the ranking Democrat on the committee, and Rep. Robert Garcia (Calif.), the top Democrat on its subcommittee for national security, the border and foreign affairs, wrote to Trump that they were making the request as a result of a Washington Post article published last month. The article revealed details of a secret Justice Department investigation during Trump’s presidency into whether he took an illegal campaign contribution from Egypt. As members of the House minority, Raskin and Garcia do not have the power to subpoena documents or witnesses, and Trump is under no obligation to respond to their inquiries. But the Democrats said the public deserves answers now that Trump is running for president again. “Surely you would agree that the American people deserve to know whether a former president — and a current candidate for president — took an illegal campaign contribution from a brutal foreign dictator,” the letter signed by the two Democrats reads. “Accordingly, we request that you immediately provide the Committee with information and documents necessary to assure the Committee and the American public that you never, directly or indirectly, politically or personally, received any fund from the Egyptian president or government.” Asked for comment, the Trump campaign called reporting about Trump and Egypt “textbook Fake News.” The Justice Department investigation “found no wrongdoing and was closed,” spokesman Steven Cheung said, repeating a statement he gave for The Post story last month. “None of the allegations or insinuations being reported on have any basis in fact.” The Post article reported that the investigation began early in 2017 in response to U.S. intelligence indicating that Egyptian President Abdel Fatah El-Sisi had sought to send Trump $10 million. In May of that year, special counsel Robert S. Mueller III, who had been appointed to investigate Russian interference in the 2016 election, agreed to take the lead on the Egypt investigation. In early 2019, as Mueller was preparing to deliver his report on Russian interference and close his office, his team obtained records from Egyptian banking officials. The records revealed a cash withdrawal of nearly $10 million — an amount almost identical to what the intelligence indicated — from an account tied to the Egyptian General Intelligence Service, The Post reported. The withdrawal occurred in January 2017, five days before Trump took office. The discovery intensified the probe. Prosecutors in the U.S. attorney’s office in D.C. who took over the case from Mueller proposed subpoenaing Trump’s bank records from a period that included Trump’s first months in the White House to see if any of the money from Cairo could be seen landing in Trump’s accounts, The Post reported. But months after the handoff, The Post’s investigation found, prosecutors and FBI agents were blocked by top Justice Department officials from obtaining those records. The case ground to a halt by the fall of 2019 as Trump’s then-attorney general, William P. Barr, raised doubts about whether there was sufficient evidence to continue the probe. Michael Sherwin, the then-acting U.S. attorney who closed the case, told The Post he did so for lack of evidence. Though the $10 million Trump injected into his election bid in 2016 was reported as a contribution, Trump privately signed papers to structure the funding as a loan, according to FBI interviews with campaign aides. BuzzFeed News later reported that aides said the president forgave the loan after taking office. The letter Democrats released Tuesday asks Trump to name the source of any funds he used to repay himself for that forgiven loan, if he did, and to name any individuals or entities who were involved in funding, arranging or transferring money for the original loan to his campaign or its repayment. Raskin and Garcia emphasized in the letter that the General Intelligence Service, Egypt’s intelligence agency and a key entity under scrutiny in the Justice Department investigation of Trump, has been implicated by U.S. prosecutors in an effort to corruptly buy influence with another prominent U.S. official, former senator Bob Menendez, a Democrat from New Jersey. General Intelligence Service leaders helped fund cash bribes to Menendez through an Egyptian American business. Menendez was convicted in July on charges of accepting bribes and acting as an unregistered foreign agent of Egypt. He resigned from the Senate last month.","""Was there a confirmed Egyptian plan to funnel $10 million to the 2016 Trump campaign, as stated in the headline?""",True,False,True
The international agency charged with regulating seabed mining elected a U.N. environmental regulator to replace a leader accused of too-close industry ties.,"The Brazilian oceanographer was elected in a 79-34 vote earlier this month to serve as the first woman and scientist to lead the International Seabed Authority, marking the end of a tumultuous eight-year run for Michael Lodge, a British lawyer who's faced a barrage of accusations, including mismanagement and being too ...","""Has the International Seabed Authority (ISA) elected a new leader to replace a former leader accused of too-close industry ties?""",True,False,True
Olympic Champion Simone Biles Posted on Social Media That She Loves her ‘Black Job’,"Simone Biles says she loves her ‘black job,’ an apparent clapback at Donald Trump   After the final Olympic Gold winner Simone Biles said three years ago she wasn’t sure whether she could compete again, but that she had “worked really hard, mentally and physically” with the help of her team.   Olympic gymnastics champion Simone Biles entered the fray of the U.S. presidential race on Friday with a post that appears to clap back at former President Donald Trump’s comment about “Black jobs.” “I love my black job,” Biles posted on X, in response to a post from singer Ricky Davila, who had said: “Iconic photo of the GOAT mastering her black job and collecting Gold Medals.” The exchange came hours after Biles held off Brazil’s Rebeca Andrade to win the all-around Paris Olympics gymnastics finals, taking home her ninth gold medal. At 27, she’s the oldest Olympic women’s gymnastics champ since 1952. Trump, the 2024 Republican presidential nominee, has been criticized for arguing during his June debate with Democratic President Joe Biden that migrants are taking “Black jobs” and “Hispanic jobs” from Americans. Trump’s remark angered critics, who called it a racist and insulting attempt to expand his appeal beyond his white conservative base. When pushed by moderators on what constituted a “Black job,” Trump told attendees at this week’s National Association of Black Journalists conference that “a Black job is anybody that has a job,” drawing groans from the room. Trump’s running mate, Ohio Sen. JD Vance, has been critical of Biles before. During a 2021 Fox News Channel appearance, following Biles’ withdrawal from that year’s Olympics competition to protect her own safety in Tokyo — a self-removal that prompted an international discussion about mental health — Vance questioned why the athlete didn’t push forward.  “I think it reflects pretty poorly on our sort of therapeutic society that we try to praise people, not for moments of strength, not for moments of heroism, but for their weakest moments,” Vance, who was then running for his Senate seat, said at the time. Trump’s campaign did not immediately return a message seeking comment on what Biles posted. Biles’ representatives also did not immediately return messages seeking further comment on her post or her thoughts generally about the 2024 U.S. presidential election. ___ Meg Kinnard reported from Chapin, S.C., and can be reached at http://twitter.com/MegKinnardAP. Follow the AP’s coverage of the 2024 election at https://apnews.com/hub/election-2024. Copyright 2024 The Associated Press. All Rights Reserved.","""Has Olympic Champion Simone Biles posted on social media about loving her 'Black Job'?""",True,True,True
Russia releases Evan Gershkovich and Paul Whelan in historic prisoner swap with West,"Is Russia Prisoner Exchange? On 1 August 2024, the United States and Russia conducted the most extensive prisoner exchange since the end of the Cold War, involving the release of twenty-six people.","""Has Russia officially confirmed the release and exchange of Evan Gershkovich and Paul Whelan in a prisoner swap with the West?""",True,True,False
Freed American’s family to miss Taylor Swift concert for the very best reason,This www.cnn.com page can’t be found  No webpage was found for the web address: https://www.cnn.com/2024/08/02/politics/kurmasheva-family-reunited-taylor-swift-concert/index.html,"""Has the family of the freed American provided a statement or confirmation about missing the Taylor Swift concert?""",True,False,False
Hunter Biden won’t be sentenced on gun charges until after presidential election,"Hunter Biden to be sentenced Nov. 13 after conviction on federal gun charges  Watch CBS News By Melissa Quinn August 2, 2024 / 3:30 PM EDT / CBS News Washington — Hunter Biden, President Biden's son, is set to be sentenced on Nov. 13 for his conviction on federal gun charges. Hunter Biden was found guilty by a 12-member jury in June on charges related to his purchase and possession of a firearm while he was addicted to crack cocaine. The trial in his case, brought by special counsel David Weiss, spanned six days. The jury heard testimony from Hunter Biden's ex-wife; an ex-girlfriend; Hallie Biden, widow of his deceased brother Beau Biden; and as his daughter, Naomi Biden. He faces up to 25 years in prison and fines of up to $750,000. Hunter Biden is the first child of a sitting president to be convicted of a crime. He is a first-time offender. The president's son was indicted on three felony gun charges in September 2023 after a proposed plea deal with federal prosecutors unraveled. He was accused of buying and having a gun, a Colt Cobra 38SPL, for 11 days in October 2018 when he was a drug user, and lying about his drug use on a federal form for firearms purchases. Federal law prohibits illegal drug users from having guns. Hunter Biden pleaded not guilty to the charges, and his lawyers argued during the trial that prosecutors had to prove he was using drugs when he purchased the gun. His defense team said he was abusing alcohol, not drugs, during the time that he had the weapon. Ultimately, the argument did not persuade the jury, who returned a guilty verdict after deliberating for less than three hours across two hours. Hunter Biden will be sentenced by U.S. District Judge Maryellen Noreika, who has overseen the case. The Nov. 13 date for the proceedings is just eight days after the presidential election. He is also set to stand trial in California, where he faces nine federal tax charges in a second case brought by Weiss. He was indicted in December and pleaded not guilty to the six misdemeanor counts and three felony counts. The trial in that case is set to begin Sept. 5. Melissa Quinn is a politics reporter for CBSNews.com. She has written for outlets including the Washington Examiner, Daily Signal and Alexandria Times. Melissa covers U.S. politics, with a focus on the Supreme Court and federal courts. © 2024 CBS Interactive Inc. All Rights Reserved. Copyright ©2024 CBS Interactive Inc. All rights reserved.","""Has Hunter Biden been sentenced on gun charges as of [current date]?""",True,False,True
Russia pulled back weapons shipment to Houthis amid US and Saudi pressure,This www.cnn.com page can’t be found  No webpage was found for the web address: https://www.cnn.com/2024/08/02/politics/russia-weapons-houthis-saudi-arabia/index.html,"""Has Russia confirmed a withdrawal of weapons shipment to Houthis amid US and Saudi pressure?""",True,True,False
"Secret Service should have watched roof used by Trump rally shooter, acting director says",This www.cnn.com page can’t be found  No webpage was found for the web address: https://www.cnn.com/2024/08/02/politics/secret-service-trump-assassination-attempt-briefing-ronald-rowe/index.html,"""Has the Acting Director of the Secret Service publicly stated that they should have monitored the roof area where the Trump rally shooter was located?""",True,False,False
Judge Chutkan could jumpstart Trump election interference case now that it’s back in her court,This www.cnn.com page can’t be found  No webpage was found for the web address: https://www.cnn.com/2024/08/02/politics/chutkan-trump-election-interference-case/index.html,"""Has Judge Chutkan been assigned the Trump election interference case as of the latest court updates?""",True,True,False
"Kamala Harris has earned enough votes to win the Democratic presidential nomination, party chair announces",This www.cnn.com page can’t be found  No webpage was found for the web address: https://www.cnn.com/2024/08/02/politics/kamala-harris-democratic-nomination-election/index.html,"""Has the Democratic National Committee officially announced that Kamala Harris has earned enough votes to win the Democratic presidential nomination?""",True,True,False
How Pete Buttigieg’s 2020 campaign built the base driving his VP buzz,This www.cnn.com page can’t be found  No webpage was found for the web address: https://www.cnn.com/2024/08/02/politics/pete-buttigieg-vice-president-harris/index.html,"1. ""Did Pete Buttigieg's 2020 campaign build a base that is driving his VP buzz?""",True,True,False
Some Jewish Democrats wonder if America is ready for a Jewish vice president,This www.cnn.com page can’t be found  No webpage was found for the web address: https://www.cnn.com/2024/08/02/politics/shapiro-jewish-identity-scrutiny-democratic-party/index.html,"""Is there evidence of Jewish Democrats expressing doubts about America's readiness for a Jewish vice president in reputable news sources?""",True,True,False
