Headline,Scraped Content,Question_phi,Actual Decision,SummaC ZS Decision,SummaC Conv Decision
Taiwan-China's uneasy rivalry spills to badminton court,"‘Chinese Civil War’ in the Olympics Men’s Badminton Doubles: The Implication of Beijing’s Insecurity on Taiwan-related Issues  Taiwan has competed in the Olympic Games and other international sporting events under ‘Chinese Taipei’ since 1981. In the past few years, controversy over the nomenclature has been reported on by several international media. Awareness of the dispute between Taiwan (Chinese Taipei) and the People’s Republic of China (China) has been, again, raised due to the badminton match in the recently concluded Paris 2024 Olympics. On August 4, Chinese Taipei and China faced off in the men’s badminton doubles gold medal match at the Paris 2024 Olympics. It was noted that some Chinese Taipei (Taiwanese) supporters were asked to remove their signs and face paintings containing Taiwan-related elements, in line with the International Olympic Committee’s (IOC) regulations prohibiting flags or signs that include political messages or support countries not participating in the Olympics. Additionally, it was reported that China typically stations individuals to monitor the audience and reports any signs that may violate the IOC’s rules when Chinese Taipei is competing. This practice of confiscating Taiwan-related signs is not surprising as it adheres to the agreement made in 1981. Yet, compared to the COVID-impacted Tokyo Olympics, during which no spectator was allowed to watch matches in any venue, the Paris 2024 Olympics with thousands of spectators in every arena offered Taiwan a better platform to physically engage with people from different countries. But this direct interaction also made confiscating practice obvious to spectators, granting observers a deeper insight into the delicate disputes and frictions that have characterized cross-strait relations. Through such occurrences, more people might be able to relate to Taiwan’s struggle while also increasing their scrutiny of China’s effort to control the narrative regarding Taiwan-related issues. Such situations may have a negative impact on China’s international reputation due to its harsh suppression of Taiwan in the sports world. The manner in which China broadcast the match demonstrates the high level of sensitivity regarding cross-strait relations. China Central Television (CCTV) only aired 40 out of 76 minutes of the game and did not broadcast the subsequent awards ceremony following the loss to the Chinese Taipei team. Three years ago, when Chinese Taipei played against China in the gold medal match in Tokyo, CCTV broadcast the whole game. This reflects Beijing’s attempts to control the domestic narrative regarding Taiwan-related issues by restricting information or footage deemed detrimental to the Chinese Communist Party’s (CCP) rule and social stability. The potential for political upheaval is seen as a core threat to the party’s legitimacy to rule and ability to maintain popular support. With mounting domestic grievances including social stress caused by unemployment, housing foreclosures, weak domestic demand, increasing crime and suicide rates, there is more urgency for the leadership in Beijing to shape narratives that positively supports its rule. Thus, China has been outspokenly supporting and applauding IOC’s practice of confiscating Taiwan-related items in stadiums. In addition, CCTV themselves play a crucial role in shaping the narrative so that Chinese audiences see Taiwan as an integral part of China. In the news, CCTV stated that “the Chinese combination Liang Wei Keng/Wang Chang was narrowly defeated by the Chinese Taipei combination by 1-2 and won second place” (中国组合梁伟铿/王昶1-2惜败中国台北组合获得亚军). The simplified Mandarin translation of Chinese Taipei, in this case, is different from how the Taiwanese translate it. ‘中国台北 (zhōng guó tái běi),’ as applied by CCTV, refers to Taipei as part of mainland China. Meanwhile, the term ‘中華台北 (zhōng huá tái běi),’ translated by Taiwan, refers to Taipei as part of the greater Chinese culture spectrum. The implication of the different translations reflects Beijing’s belief that Taiwan is a province of China. At the same time, Taiwan considers itself as a separate entity from China that shares a broad sense of Chinese culture. The television coverage of the badminton match served as another attempt to blur the line between Taiwan and China. But it also depicts Beijing’s insecurity about how its citizens and internal support might be affected by Chinese Taipei’s positive image in the international stage.  While the narrative presented by CCTV makes Taiwan look like a province under China, the suspension of broadcasting shows that Beijing is unwilling to publicize an instance where a ‘provincial team’ can defeat the mainland China team. Ironically, this approach might be a misplay as it could give space for Chinese citizens to doubt Beijing’s capacity to control Taiwan. Despite claiming that Taiwan is an inalienable part of its territory, the Olympic incident shows China’s lack of confidence in terms of this sensitive issue. ISDP Voices is a blog for informed commentary and opinion. With a particular focus on Asia, it joins the debate on topical issues of politics, security, and development in the region. The views expressed do not necessarily reflect those of ISDP or its sponsors. If you’d like to contribute to the blog, please contact Jagannath Panda, Executive Editor, at jpanda@isdp.eu, and read our submission guidelines.","""What recent event or incident has escalated tensions between Taiwan and China in the realm of badminton?""",True,True,True
RB Leipzig confirm Xavi Simons stay at club in another loan,"RB Leipzig have confirmed Xavi Simons will be staying at the club for a second season-long loan from Paris Saint-Germain. In what represents another coup for the Bundesliga club this summer after keeping hold of Benjamin Šeško, the 21-year old has decided his immediate future is best served with Marco Rose's side.","""Is RB Leipzig officially confirming Xavi Simons' stay at the club through another loan deal?""",True,True,True
Man who stole Jackie Robinson statue from Kansas youth field gets 18 months for theft,"Ricky Alderete was sentenced to a total of 15 years, including 18 months for the theft, and time in prison on other charges.","""What is the sentence given to the man who stole Jackie Robinson statue from Kansas youth field?""",True,True,False
A slip on the balance beam and penalties on the floor cost Simone Biles another gold medal,"Simone Biles scored a 13.100 with a difficulty score of 6.200, an execution score of 7.200, and a penalty of -0.3. Simone fell off the beam during her routine, which significantly impacted her score.","""Did Simone Biles receive a penalty that affected her medal count in a competition where she slipped on the balance beam?""",True,True,False
World No. 1 Jannik Sinner beaten in Wimbledon quarterfinals by Daniil Medvedev after needing medical assessment in third set,Top seed Jannik Sinner broke through Daniil Medvedev's defences to win 6-2 1-6 6-1 6-4 in a seesawing U.S. Open quarter-final on Wednesday.,"""What was the outcome of the Wimbledon quarterfinal match between Jannik Sinner and Daniil Medvedev?""",True,False,False
No last hurrah for Andy Murray at Wimbledon after Emma Raducanu withdraws from mixed doubles competition,Emma Raducanu on Sunday defended her decision to withdraw from the mixed doubles at Wimbledon which curtailed Andy Murray's plans at his home Grand Slam.,"""Did Emma Raducanu withdraw from the mixed doubles competition at Wimbledon, affecting Andy Murray's participation?""",True,True,True
American League tops National League for 10th time in last 11 MLB All-Star Games,"List of Major League Baseball All-Star Games  Please don't scroll past this 1-minute read. We're sorry to interrupt, but it's Thursday, 5 September, and it will soon be too late to help us in our fundraiser. We ask you to reflect on the number of times you visited Wikipedia in the past year and if you're able to give €2 to the Wikimedia Foundation. If everyone reading this gave just €2, we'd hit our goal in a few hours. In the age of AI, access to verifiable facts is crucial. Wikipedia is at the heart of online information, powering everything from your personal searches to emerging AI technologies. Your gift strengthens the knowledge of today and tomorrow. If Wikipedia is one of the websites you use most and if the knowledge you gain here is valuable, please give €2. Every contribution helps: every edit, every gift counts. Proud host of Wikipedia and its sister sites  Ninety-three Major League Baseball All-Star Games have been played since the inaugural one in 1933. The American League (AL) leads the series with a 48–44–2 (.521) record, and a 388–380 run advantage.[1] The NL has the longest winning streak of 11 games from 1972 to 1982; the AL held a 13-game unbeaten streak from 1997 to 2009 (including a tie in 2002). The AL previously dominated from 1933 to 1949, winning 12 of the first 16. The NL dominated from 1950 to 1987, going 33–8–1, including a stretch from 1963 to 1982 when they won 19 of 20. Since 1988, the AL has dominated, going 28–7–1. In 2018, the AL took their first lead in the series since 1963. The ""home team"" has traditionally been the league in which the host franchise plays its games; however, the AL was designated the home team for the 2016 All-Star Game, despite it being played in Petco Park, home of the National League's San Diego Padres. This decision was made following the announcement of Miami as host for the 2017 All-Star Game, which was the third consecutive year in which the game is hosted in an NL ballpark. The criteria for choosing the venue are subjective; for the most part, cities with new parks and cities who have not hosted the game in a long time—or ever—tend to get the nod. In the first two decades of the game there were two pairs of teams that shared ballparks, located in Philadelphia and St. Louis. This led to some shorter-than-usual gaps between the use of those venues: The Cardinals hosted the game in 1940, and the Browns in 1948. The Athletics hosted the game in 1943, and the Phillies in 1952. A second game was played for four seasons, from 1959 through 1962. The All-Star Game Most Valuable Player (MVP) Award was introduced in 1962 and the first recipient was Maury Wills of the Los Angeles Dodgers. The 2008 game featured the longest All-Star Game by time: 4 hours 50 minutes, and tied for innings at 15 with the 1967 game. The following future games have had their date and location announced by Major League Baseball.","""How many times has the American League won the MLB All-Star Game in the last 11 years?""",True,False,True
LeBron James leads Team USA to another comeback in 92-88 win against Germany,"The USA Mens National Team defeated the German Mens National Team, 92-88 in their final exhibition game before the 2024 Paris Olympics. LeBron James led Team USA as he scored 11 of his 20 total points in the 4th quarter while shooting 8-11 overall and added six rebounds and four assists as well.","""What was the final score of the game between Team USA and Germany featuring LeBron James?""",True,True,False
"Red Bull suspends female employee who accused team principal Christian Horner of inappropriate behavior, per reports","Red Bull suspends female employee who accused team principal Christian Horner of inappropriate behavior, per reports. Red Bull has suspended the female employee who accused F1 team principal Christian Horner of inappropriate behavior, according to multiple reports.","""Has Red Bull suspended a female employee for accusing team principal Christian Horner of inappropriate behavior according to recent reports?""",True,True,True
"After many drivers suffered in ‘extreme heat and humidity’ of Qatar Grand Prix, FIA to consider changes","The FIA said that a number of potential measures would be discussed at an upcoming medical commission meeting in Paris, and may include “guidance for competitors, research into modifications for more efficient airflow in the cockpit, and recommendations for changes to the calendar to align with acceptable climatic ...","""What specific changes is the FIA considering for the Qatar Grand Prix in response to drivers' safety concerns about extreme heat and humidity?""",True,True,False
Tearful Coco Gauff exits Paris Olympics singles competition after controversial umpire call,"A line judge initially called Vekic's shot out; Gauff did not keep the ball in play. Chair umpire Jaume Campistol thought Vekic's shot landed in and awarded her the point, giving her a service break and a 4-2 lead.","""What was the controversial umpire call that led to Coco Gauff's exit from the Paris Olympics singles competition?""",True,True,False
Audi suspends Daniel Abt after gamer raced under Formula E driver’s name in esports event,Formula E driver Daniel Abt has been suspended by his Audi team for using a professional esports gamer to compete for him. Abt had been taking part in the 'Race at Home Challenge' which raised funds for the UNICEF coronavirus relief fund.,"""What was the reason for Audi suspending Daniel Abt in the esports event?""",True,True,True
She’s a pro soccer player and a pro esports athlete: Meet RB Leipzig’s Lena Güldenpfennig,This edition.cnn.com page can’t be found  No webpage was found for the web address: https://edition.cnn.com/2021/10/19/football/lena-guldenpfennig-leipzig-esports-spt-intl/index.html,"""What professional soccer and esports athlete is associated with RB Leipzig?""",True,True,True
First Time In 27 Years: India Pick Up Unwanted Feat After ODI Loss vs Sri Lanka,"As Team India's batting collapsed to 208 all out in the second ODI against Sri Lanka, the side picked up an unwanted accolade. The loss meant that this will be the first time in 27 years that India will not win a bilateral ODI series against Sri Lanka, in which at least one match has been completed.","""What was the specific unwanted feat that India achieved in their ODI match against Sri Lanka after their loss?""",True,True,True
Olympics: Lakshya Goes Down Fighting In Badminton Bronze Medal Match,"India's Lakshya Sen missed a historic men's singles bronze medal at the Paris 2024 Olympics badminton tournament after losing to Lee Zii Jia of Malaysia on Monday. At La Chapelle Arena, Lakshya Sen, 22nd in the badminton rankings, suffered a 13-21, 21-16, 21-11 loss to world No. 7 Lee Zii Jia in 71 minutes.","""What was the outcome of Lakshya's badminton match at the Olympics where he fought for a bronze medal?""",True,False,True
Alpine Turn To Briton Oliver Oakes As New F1 Team Principal,Alpine have announced Oliver Oakes as their new team principal replacing Bruno Famin.,"""Who is the new F1 team principal announced by Alpine as of the latest news?""",True,True,False
"India Finish Fourth Again, Miss Out On Olympics Shooting Mixed Team Skeet Bronze Medal",Indian shooters Anantjeet Singh Naruka and Maheshwari Chauhan settled for fourth place in the skeet mixed team shooting event at the Paris 2024 Olympics after losing the bronze medal match to the People's Republic of China on Monday.,"""Did India's mixed team skeet shooting team win a bronze medal at the Olympics?""",True,True,True
PCB chief Mohsin Naqvi announces major changes to Pakistan's domestic cricket structure,"PCB chief Mohsin Naqvi announces major changes to Pakistan's domestic cricket structure  The TOI Sports Desk excels in a myriad of roles that capture the essence of live sporting events and deliver compelling content to readers worldwide. From running live blogs for India and non-India cricket matches to global spectacles featuring Indian talents, like the Chess World Cup final featuring Praggnanandhaa and the Badminton World Championships semifinal featuring HS Prannoy, our live coverage extends to all mega sporting events. We extensively cover events like the Olympics, Asian Games, Cricket World Cups, FIFA World Cups, and more. The desk is also adept at writing comprehensive match reports and insightful post-match commentary, complemented by stats-based articles that provide an in-depth analysis of player performances and team dynamics. We track news wires for key stories, conduct exclusive player interviews in both text and video formats, and file content from print editions and reporters. We keep track of all viral stories, trending topics and produce our own copies on the subjects. We deliver accurate, engaging, and up-to-the-minute sports content, round the clock. Wrestler Aman Sehrawat becomes India's youngest Olympic medallist Neeraj gets silver, hockey team bags bronze for India on Day 13 Heartbreak for Mirabai after Vinesh's disqualification on Day 12 Vinesh, Neeraj in finals; hockey team suffers heartbreak on Day 11       Use precise geolocation data. Actively scan device characteristics for identification. Store and/or access information on a device. Personalised advertising and content, advertising and content measurement, audience research and services development. List of Partners (vendors)","""What major changes to Pakistan's domestic cricket structure were announced by PCB chief Mohsin Naqvi?""",True,True,True
"Former England cricketer Graham Thorpe passes away, aged 55","Former England cricketer Graham Thorpe died after being struck by a train at a railway station in Surrey, the opening of an inquest into his death has heard. His wife Amanda and daughter Kitty had earlier told The Times the 55-year-old took his own life on 4 August after ""suffering from major depression and anxiety"".","""What is the date of death for former England cricketer Graham Thorpe?""",True,True,True
"Gautam Gambhir will not be able last long as India head coach given that he has a particular way of doing things which may not sit well with everyone, says Gambhir's former teammate Joginder Sharma.","In a candid and honest interview, former Indian T20 World Cup-winning bowler Joginder Sharma opined that Gautam Gambhir might not retain his head coach role until 2027 as the odds of potential ego clashes with players or board members are high.","""What are the reasons cited by Joginder Sharma for Gautam Gambhir's potential inability to serve as India head coach?""",True,True,True
"Tajinderpal Singh Toor, Jyothi Yarraji included in Asian Indoor Athletics Championships","Jyothi Yarraji and Tajinder Pal Singh Toor have been chosen to lead the 15-member Indian athletics team for the upcoming Asian Indoor Athletics Championships 2024, set to commence on February 21 in Tehran, Iran. The Athletics Federation of India made the announcement on the social media platform X (formerly Twitter).","""Who are Tajinderpal Singh Toor and Jyothi Yarraji, and have they been included in the Asian Indoor Athletics Championships?""",True,True,True
Leg Before Catch': An unconventional catch in ECS Bulgaria T10 match goes viral,"The ball seemed likely to fall short of the fielder at mid-on. Dalyan then extended his foot forward, causing the ball to hit his shoe and bounce up into the air. He completed the catch with ease, much to the disbelief of everyone present.","""What was the unusual catch made by the player in the ECS Bulgaria T10 match that went viral?""",True,False,True
"South Africa are looking to give Tristan Stubbs an extended run at No. 3 in their Test batting line-up, starting with this week's first Test against the West Indies in Port of Spain, coach Shukri Conrad said on Tuesday.","FULL NAME Tristan Stubbs BORN August 14, 2000 AGE 24y 22d BATTING STYLE Right hand Bat BOWLING STYLE Right arm Offbreak FIELDING POSITION Wicketkeeper PLAYING ROLE Batter EDUCATION Knysna Primary School TEAMS A batter seemingly born for the modern game, Tristan Stubbs is known for his fearless approach to batting. But there is more to him than just big-hitting. Stubbs also takes an energetic approach to longer-formats, and within four years of making his first-class debut, averaged over 50 in it. Schooled at Grey High School in Gqeberha, Stubbs was the captain of the first team. He was also the leading run-scorer at the 2018 Khaya Majola Cricket week, an Under-19 tournament in South Africa, and was selected for the SA Schools side. Stubbs did not make the South Africa Under-19 squad, but was instead selected to make his provincial debut for Eastern Province in January 2020.   BATTING & FIELDING BOWLING BATTING & FIELDING BOWLING Explore Statsguru Analysis TEST MATCHES DEBUT LAST ODI MATCHES ONLY T20I MATCHES DEBUT LAST FC MATCHES DEBUT LAST LIST A MATCHES DEBUT LAST T20 MATCHES DEBUT LAST Hasaranga had been ruled out of CPL 2024 earlier but now comes in for Sikandar Raza South Africa's total of 108 for 4 lacked significant individual contributions in rain-hit final T20I Athanaze and Hope blasted 75 in the powerplay to put Stubbs' resilient 76 in the shade  Store and/or access information on a device. Precise geolocation data, and identification through device scanning. Personalised advertising and content, advertising and content measurement, audience research and services development. List of Partners (vendors)","""Is Tristan Stubbs currently playing for South Africa in the Test cricket team?""",True,False,True
I've accomplished way more than my wildest dreams': Simone Biles after clinching silver in floor exercise at Paris Olympics,"NEW DELHI: Simone Biles concluded her 2024 Paris Olympics journey with a silver medal in the floor exercise, adding to her already impressive medal haul. Despite a fall on the balance beam earlier in the day, Biles rallied to deliver a strong floor routine, earning a score of 14.133.","""What were Simone Biles' achievements in the floor exercise at the Paris Olympics?""",True,True,False
"Larry Allen, Dominant N.F.L. Lineman, Dies at 52","Allen died on June 2, 2024, while on vacation with his family in Mexico, at the age of 52. The cause of death is currently undetermined.","""What is the cause of death for former NFL lineman Larry Allen?""",True,False,True
"Parnelli Jones, Champion Auto Racer and Record Setter, Is Dead at 90","Death. Jones died in Torrance, California, on June 4, 2024, at the age of 90.","""What is the date of Parnelli Jones's passing?""",True,True,False
Muhammad Ali’s Childhood Home Goes on the Market,"The boxing champion lived in the one-story house in Louisville, Ky., which in recent years became a museum. It's listed for sale, along with two neighboring properties, for $1.5 million.","""What is the current status of Muhammad Ali's childhood home?""",True,False,True
"Rob Burrow, Rugby Star and A.L.S. Campaigner, Dies at 41","He was 41. His death — from M.N.D., a group of neurological disorders that includes amyotrophic lateral sclerosis, or A.L.S., also known as Lou Gehrig's disease — was announced by the Leeds Rhinos, the British rugby league club with which he spent his entire 17-year professional career.","""What is the cause of death for Rob Burrow, the rugby star and A.L.S. campaigner who passed away at the age of 41?""",True,True,False
"Bill Walton, N.B.A. Hall of Famer and Broadcasting Star, Dies at 71","Bill Walton, a former UCLA men's basketball two-time NCAA champion, NBA Hall of Famer and longtime sportscaster, died Monday, May 27, following a prolonged battle with cancer. He was 71.","""What is the date of Bill Walton's passing?""",True,True,False
"50 Years Ago, Chris Evert and Bjorn Borg Changed Tennis","As teenagers, they brought the two-handed backhand to the sport — and to their first major championships, both at the French Open.","""What significant changes in tennis occurred when Chris Evert and Bjorn Borg played together 50 years ago?""",True,True,True
"Hsieh Su-Wei, at 38, Is a Dominant Force in Doubles","She has won seven Grand Slam titles in women's doubles: the 2013 Wimbledon Championships and the 2014 French Open with Peng Shuai, the 2019 and 2023 Wimbledon Championships with Barbora Strýcová, the 2021 Wimbledon Championships and the 2024 Australian Open with Elise Mertens, and the 2023 French Open with Wang Xinyu.","""What are Hsieh Su-Wei's notable achievements in women's doubles tennis?""",True,True,False
"Mercedes, Which Dominated F1 for Almost a Decade, Struggles to Catch Up",,"""What were Mercedes' performance trends in Formula 1 over the past decade?""",True,True,False
A Fan Was Hit by a 110-M.P.H. Foul Ball. Now She’s on a Trading Card.,"""We made a custom Topps Now trading card of Liz McGuire: the fan who took a 110 MPH Bo Bichette foul ball to the head and STAYED AT THE GAME,"" read the Twitter/X post from Topps' official account. ""We produced exactly 110 copies, and we're gifting them all to @lizzzzzzzzzzy . Liz, you're a champ!""","""What is the name of the woman who was hit by a 110-mph foul ball and is now on a trading card?""",True,True,True
Frédéric Vasseur’s Plan for Ferrari Begins to Pay Off,"Frédéric Vasseur’s Plan for Ferrari Begins to Pay Off                                                    As a Frenchman running a beloved Italian team, fans weren’t happy at first, but the team is now second for the constructors’ title. By Ian Parkes In January last year, Frédéric Vasseur started one of the toughest jobs in motorsports, team principal of the Ferrari Formula 1 team. It did not help that as a Frenchman, Vasseur was the first non-Italian to be appointed to the position since Jean Todt left in 2007. The Ferrari fans, known as Tifosi, were unhappy with the decision. In an episode of the Netflix documentary “Formula 1: Drive to Survive,” they made their feelings known. “He’s never done this job,” one person said. “What the heck has he come here to do?” On Vasseur’s not speaking Italian, another said, “A team like Ferrari is a family. It’s important.” Vasseur said the fan reaction didn’t surprise him. “They have always been very positive, not necessarily with me, but with the team,” he said in an interview. ADVERTISEMENT “There are always people at the entrance of the factory in the morning, or the evening when I’m leaving, and they are all positive,” he added. “I have never had someone shout, ‘Ah, you are doing rubbish.’ The guys who are there are shouting, ‘Allez, allez, allez.’” Under Mattia Binotto, the previous team principal, Ferrari finished second in the constructors’ championship in 2022. Charles Leclerc was runner-up in the drivers’ standings. Last year, under Vasseur, Ferrari was third, Leclerc fifth and Carlos Sainz, his teammate, seventh. This season the results have improved as Vasseur pieces together a plan to help the team win its first championship since 2008. Leclerc and Sainz are now third and fifth in the drivers’ championship and have finished on the podium six times, including Sainz winning the Australian Grand Prix in March with Leclerc finishing second. The team is also second in the constructors’ championship behind Red Bull. “Short term, it’s more about putting everything together, to have a good team spirit,” Vasseur said. “You can reorganize some departments, to change people, but it is more a matter of mind-set at the end. We did it quite quickly last year, and it’s paying off. ADVERTISEMENT “As a team principal, you can quickly change the mentality, the ability to take risks, instill self-confidence. With this kind of team spirit, let’s call it, we made a decent step forward.” A Close Race: Max Verstappen is still firmly on top of the drivers’ championship, but McLaren is mounting a challenge for the team title. Keeping Drivers and Fans Safe: Silverstone’s medical team is “probably the best in the world for motor racing.” From Bombers to Racecars: The home of the British Grand Prix, a R.A.F. base during World War II, had its first race in 1948. An Attraction Beyond Racing: The historic track at Silverstone is no longer “just a motorsport circuit.” More on Formula 1: Stories about drivers, teams and issues. In Binotto’s final season of his four in charge, Ferrari made errors during Grands Prix, on strategy, in pit stops and from Leclerc that allowed Red Bull and Max Verstappen to comfortably win the titles. Vasseur joined Ferrari weeks before the start of the new season. He said that he never felt resistance to his appointment, but that with little time to integrate himself into the team, it was “quite brutal.” “I needed time to understand,” he said. “It’s very difficult to arrive at a team and say we are weak on this, this and this because it’s not just a matter of results. You need to understand the reasons. ADVERTISEMENT “If we are not doing good pit stops, or the strategy is not good, why? Is it a matter of people, tools, organization of the pit wall? You need to understand, to see them working together, and that takes a little bit of time.” After improving the team spirit in the short term, the mid- and long-term projects have involved strengthening the team. On the drivers’ side, Lewis Hamilton, a seven-time champion, will join Ferrari next year after 12 seasons with Mercedes. In the junior categories, en route to Formula 1, Hamilton won the Formula 3 Euro Series title in 2005 with ASM, led by Vasseur. The next year he was GP2 champion with ART GP, also under Vasseur. Hamilton said it was his “great relationship” with Vasseur that persuaded him to activate a release clause in his Mercedes contract that was to run until the end of 2025. “We had amazing success in F3 and GP2, and that’s really where the foundation of our relationship started,” Hamilton said. “We always remained in touch. I thought he was going to be an amazing team manager at some stage and progress to F1, but at the time, he wasn’t interested in that.” ADVERTISEMENT It was not until 2016 that Vasseur moved into Formula 1 as team principal, of Renault. He resigned after six months. Six months later he joined Sauber Motorsport as managing director and chief executive, and became team principal of the Sauber team. “It was really cool to see him step into that team,” Hamilton said. “Then when he got the job at Ferrari, I was just so happy for him.” The friendship between Hamilton and Vasseur was pivotal to his joining Ferrari. “The stars aligned, and I think it really wouldn’t have happened without him,” Hamilton said. “I’m really excited about the work he’s doing there.” To make way for Hamilton, Vasseur informed that Sainz he would be leaving at the end of this year. Sainz was the only driver to win a Grand Prix last season other than drivers from Red Bull. “I have huge respect for Carlos,” Vasseur said. “I’m perfectly aware of the job he did last year. He was the architect of our recovery after the summer break. He brought us the win in Singapore and the podium in Monza. ADVERTISEMENT “But for the team, being able to bring Lewis on board was a no-brainer for tons of reasons. I had to take a decision, and the decision was harsh. We closed the discussion by saying, ‘It is like it is. Let’s push until the last corner of the last lap and do a mega-good season.’” On the technical side, Loïc Serra, performance engineer at Mercedes, will join Ferrari next season. Adrian Newey, who has helped Red Bull win seven drivers’ and six constructors’ titles during his 19 seasons with the team, is leaving the team early next year. Hamilton said it would be a privilege to work with Newey. “If I was to make a list of people I would love to work with, he would absolutely be at the top of it,” he said. Leclerc said Newey was someone “who can make a difference.” Newey said he was “going to take a little bit of a break and see what happens next.” Vasseur would not comment on whether he would sign Newey, but was aware that important hires take time. “The recruitment of people is very long,” he said. ADVERTISEMENT Leclerc, who signed a new contract with Ferrari in January, said the team was “in a very good moment” with Vasseur in charge. “Fred has always shared with me his medium- to long-term vision of the team, and it’s going really well,” Leclerc said. “I’m really happy with how it is going. We are in a good place to attract the best people in the world. “I have said it before, but we are a really good team already, and in the last seven, eight months, we’ve made incredible progress. Whoever now comes in to make us even stronger is super important.” Vasseur said his time in charge had been “very demanding,” not just for him but also “for every single team member.” ADVERTISEMENT “I don’t want to say that I won’t take harsh decisions, but at least on the difficult days, it’s much easier to smile than to not smile,” he said. When the “Drive to Survive” episode on Ferrari ran in February, the fans’ perception of Vasseur had changed. “I have a lot of faith in Vasseur,” one fan said in the episode. Another added, “He can bring Ferrari back to where it deserves to be.” ADVERTISEMENT","""What recent achievements or improvements in Ferrari's performance or business can be attributed to Frédéric Vasseur's plan?""",True,True,True
